,ID,name,address,a1,a2,city,pCode,lat,long,dist,dUnit,phone,sCode,cCode,hours,type,brand,brandDV,typeDV
0,Bata_0279,0279 KHARAGPORE,RLY. MARKET,RLY. MARKET,,KHARAGPORE,721301,22.343345,87.316223,3.00,km,9874492478,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
1,Bata_4575,4575 M/S. ADVANCE FOOTWEAR CO.,BATA SHOE STORE,BATA SHOE STORE,,MALANCHA RD - KHARAGPUR,721304,22.3441,87.2814,3.88,km,9830044893,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
2,Bata_0497,0497 MIDNAPORE LIC,SAMRIDHI APARTMENT,SAMRIDHI APARTMENT,,MIDNAPORE,721101,22.421119,87.315901,11.52,km,8016373801,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
3,Bata_0446,0446 DURGAPUR MALL ,"JUNCTION MALL,CITY CENTRE","JUNCTION MALL,CITY CENTRE",,DURGAPUR,713216,22.539079,87.291076,24.64,km,8918407902,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
4,Bata_4637,4637 M/S. MAHARAJ ENTERPRISE,BATA SHOE STORE,BATA SHOE STORE,,TAMLUK,721636,22.288966,87.919419,63.15,km,9830463629,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
5,Bata_4432,4432 M/S COMFORT FOOTWEAR,"257/1, KOLKATA ARAMBAGH","257/1, KOLKATA ARAMBAGH",,ARAMBAGH ,712601,22.8765026,87.650875,71.47,km,9903573971,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
6,Bata_0287,0287 BARIPADA      ,108 COLLEGE ROAD,108 COLLEGE ROAD,,BARIPADA,756113,21.939977,86.730527,72.69,km,9437468298,Orissa,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
7,Bata_4510,4510 M/S. RAINBOW VENTURES,"GRND FLOOR, SHOP-4","GRND FLOOR, SHOP-4",,CHINSURAH,712103,21.7767382,87.7440128,75.20,km,9903845601,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
8,Bata_4567,4567 M/S. AJIT KUMAR MISRA,BATA SHOE STORE,BATA SHOE STORE,,BISHNUPUR,722122,23.0625037,87.3054365,82.79,km,7365007577,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
9,Bata_4568,4568 M/S. ZENITH ENTERPRISE,BATA SHOE STORE,BATA SHOE STORE,,UTTARPARA - KOLKATA,712232,23.0625579,87.3054632,82.80,km,9330032480,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
